	has_enum_range	has_preferred_unit	name_components	quantity_value	range_of_slot	angstrom	atmosphere	beats per minute	cardinal direction	centimeter	cm^2)	colony forming units per gram of dry weight	colony forming units per milliliter	cp at degree celsius	cubic centimeter per cubic centimeter	cubic feet	cubic meter	cubic meter per day	cubic meter per minute	cubic meter per second	day	days	degree	degree celsius	degrees	degrees api	dpi	ergs per square centimeter per second	g	gram	gram carbon per kilogram sample material	gram of air	gram per cubic centimeter	gram per cubic meter	gram per gram	gram per kilogram soil	gram per liter	gram per square meter	gram per square meter per day	grams	gray	hour	hours	inch	joule per degree celsius	kilogram	kilogram of air	kilogram per kilogram	kilogram per metre square	kilogram per square meter	kilopascal	kilowatt per square metre	kilowatts per square meter per day	knots	liter	liter per hour	liters per second	lumens per square meter	lux	md	meter	meter per second	meter per square second	microeinstein per square centimeter per second	microeinstein per square meter per second	microgram	microgram per cubic meter	microgram per gram	microgram per liter	microliter	micrometer	micromole oxygen per liter per hour	micromole per kilogram	micromole per liter	millibar	milliequivalent per liter	milligram	milligram chlorophyll a per cubic meter	milligram per cubic meter	milligram per cubic meter per day	milligram per kilogram	milligram per liter	milliliter	millimeter	millimeter mercury	millimeter per year	millisiemens per centimeter	millivolt	mol m-2 s-1	mol per liter per hour	mole per liter	mole per liter per hour	nanogram per liter	nanometer	number of cells per gram (or ml	number of photons per second per unit area	part per million	parts per billion	parts per million	per day	per month	per week	percent	percentage	pound	practical salinity unit	rad	square centimeter	square feet	square meter	ton	volts	weeks	year	years	FWD:{ambiguous_nucleotides};REV:{ambiguous_nucleotides}	^({add_recov_methods});{date_time_stamp}$	^({termLabel} \[{termID}\])|{integer}$	^{PMID}|{DOI}|{URL}$	^{PMID}|{DOI}|{URL}|{text}$	^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$	^{agrochemical_name};{amount} {unit};{date_time_stamp}$	^{ambiguous_nucleotides}$	^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$	^{duration}$	^{float} *- *{float} {unit}$	^{float} days$	^{integer} {text}$	^{integer} {text}}$	^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$	^{lat} {lon}$	^{name};{float} {unit}$	^{particulate_matter_name};{float} {unit}$	^{room_name};{room_number}$	^{scientific_float}( *- *{scientific_float})? *{text}$	^{software};{version};{parameters}$	^{termLabel} \[{termID}\]$	^{text} \[{NCBItaxon_id}\]$	^{text}: {text}, {text}$	^{text}|({termLabel} \[{termID}\])$	^{text}|{PMID}|{DOI}|{URL}$	acid	act	activ	add	admin	age	air	al	alkalinity	am	amp	animal	annual	antibiotic	appr	area	assembly	avg	bac	bin	biocide	biol	biomass	biotic	blood	body	build	built	carb	ceil	check	chem	class	clean	climate	collect	color	comp	compl	cond	condt	cons	cont	contact	contam	content	cool	count	cover	crop	cult	cur	data	date	db	deliv	dem	density	depth	device	dew	diet	dioxide	dis	disease	disord	diss	dna	door	dur	env	environment	equip	event	exp	ext	extr	fam	farm	feat	ferm	fertilizer	finish	floor	fluid	food	frac	freq	frict	fw	gaseous	genome	geo	geol	growth	hcr	health	heat	heavy	height	hist	horizon	host	humidity	id	ident	inc	indoor	info	infra	inorg	intended	iron	isol	kit	label	land	last	lib	life	light	link	lithology	loc	local	location	lysis	mass	mat	matter	mean	med	media	medium	metal	metals	meth	method	microb	mode	moisture	mold	month	name	nitro	nose	nucl	num	number	nutr	occup	of	org	orient	otu	out	oxy	oxygen	pH	pack	param	part	particles	pc	pcr	percent	ph	phosp	phosphate	photosynt	plant	point	porosity	pos	precpt	pred	prep	preserv	press	pressure	primary	proc	prod	product	qual	quality	rate	recover	ref	regm	rel	rep	result	room	root	route	salinity	samp	san	sat	sc	scale	score	screen	season	seq	sequencing	serovar	sex	shading	share	shared	site	six	size	slope	software	soil	soluble	sort	source	space	spec	specific	spikein	sr	stage	start	stat	state	status	stor	store	struc	study	subspecf	sulfate	surf	suspend	symbiont	syst	target	tax	taxid	tech	temp	texture	thermal	throat	time	tot	train	transmission	transport	trav	treat	treatment	tvdss	typ	type	urogenit	use	vegetation	vel	ventilation	vfa	vol	wall	water	weather	well	wga	wind	window	x16s	evidence_score	weighted_evidence_score
HACCP_term	False		2	False	string																																																																																																																																				True																																																																																																																																																																																																																																																																																								-1	-0.5
IFSAC_category	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
abs_air_humidity	False	True	3	True	string																														True											True		True																																																									True																														True													True																																																																																																	True																																																																																																																																																																												4	1.3333333333333333
adapters	False		1	False	string																																																																																																																				True																																																																																																																																																																																																																																																																																																								-1	-1.0
add_recov_method	False		3	False	string																																																																																																																True																												True																																																																																																																																						True																																																																																																																																										-2	-0.6666666666666666
additional_info	False		2	False	string																																																																																																																																																																																																																																																					True																																																																																																																																																																							-1	-0.5
address	False		1	False	string																																																																																																																												True																																																																																																																																																																																																																																																																																																1	1.0
adj_room	False		2	False	string																																																																																																																																	True																																																																																																																																																																																																									True																																																																																		-1	-0.5
adjacent_environment	False		2	False	string																																																																																																																																																																																																																True																																																																																																																																																																																																												-1	-0.5
aero_struc	True		2	False	AeroStrucEnum																																																																																																																																																																																																																																																																																																																																																																																		True																																										-1	-0.5
agrochem_addition	False	True	2	False	string																									True																																																				True									True																															True																																																																																																																																																																																																																																																																																																							0	0.0
air_PM_concen	False		3	False	string																																																																																																																																True															True																																																																																																																																																																																																																																																																													-1	-0.3333333333333333
air_flow_impede	False		3	False	string																																																																																																																																															True																																																																																																																																																																																																																																																																													0	0.0
air_temp	False	True	2	True	string																			True																																																																																																															True													True																																																																																																																																																																																																																																															True																														4	2.0
air_temp_regm	False	True	3	False	string																																																								True																																																																																							True																																																																																																																																																																																							True																																																								True																														1	0.3333333333333333
al_sat	False	True	2	True	string																																																																																																			True																															True														True																																																																																																																																																																																																True																																																																												3	1.5
al_sat_meth	False		3	False	string																																																																																																																		True																														True																																																																																																																																	True																																																															True																																																																												-2	-0.6666666666666666
alkalinity	False	True	1	True	string																																																																							True						True																																																					True															True																																																																																																																																																																																																																																																																											3	3.0
alkalinity_method	False		2	False	string																																																																																																																																																	True																																																																																																																																	True																																																																																																																																										-1	-0.5
alkyl_diethers	False		2	True	string																																																																																																																																		True																																																																																																																																																																																																																																																																																										2	1.0
alt	False	True	1	True	string																																																								True																																																																										True																																																																																																																																																																																																																																																																																										3	3.0
aminopept_act	False	True	2	True	string																																																																																							True																																											True								True																																																																																																																																																																																																																																																																																		4	2.0
ammonium	False	True	1	True	string																																																																					True								True																	True																																				True																																																																																																																																																																																																																																																																																										3	3.0
amniotic_fluid_color	False		3	False	string																																																																																																																																																																													True																																																True																																																																																																																																																																																															0	0.0
amount_light	False	True	2	True	string																																																					True	True																																																																												True																																																																																																																															True																																																																																																																																																											3	1.5
ances_data	False		2	False	string																																																																																																																																																																																													True																																																																																																																																																																																																																															-1	-0.5
anim_water_method	False		3	False	string																																																																																																																																				True																																																																																																																																														True																																																																																																																																			True							-2	-0.6666666666666666
animal_am	False		2	False	string																																																																																																																																																		True		True																																																																																																																																																																																																																																																																								0	0.0
animal_am_dur	False		3	False	string																																																																																																																										True																								True		True																																																										True																																																																																																																																																																																																														2	0.6666666666666666
animal_am_freq	False		3	False	float																																																																																																																																		True																True		True																																																																												True																																																																																																																																																																																												1	0.3333333333333333
animal_am_route	False		3	False	string																																																																																																																																																		True		True																																																																																																																																																																																								True																																																																																-1	-0.3333333333333333
animal_am_use	False		3	False	string																																																																																																																																																		True		True																																																																																																																																																																																																																																																										True														-1	-0.3333333333333333
animal_body_cond	True		3	False	AnimalBodyCondEnum																																																																																																																																																				True														True														True																																																																																																																																																																																																																																												-2	-0.6666666666666666
animal_diet	False		2	False	string																																																																																																																																																				True																																																		True																																																																																																																																																																																																																						-1	-0.5
animal_feed_equip	False		3	False	string																																																																																																																																				True																True																																																													True																																																																																																																																																																																																											-2	-0.6666666666666666
animal_group_size	False		3	False	integer																																																																																																																																																				True																																																																																																																																																																																																											True																																																													1	0.3333333333333333
animal_housing	False		2	False	string																																																																																																																																				True																True																																																																																																																																																																																																																																																																								-1	-0.5
animal_intrusion	False		2	False	string																																																																																																																	True																																			True																																																																																																																																																																																																																																																																								-1	-0.5
animal_sex	True		2	False	AnimalSexEnum																																																																																																																																																				True																																																																																																																																																																																																					True																																																																			-2	-1.0
